,thres,percor
0,0.0,48.0
1,0.1,48.0
2,0.2,48.0
3,0.3,48.0
4,0.4,48.0
5,0.5,48.0
6,0.6,48.0
7,0.7,48.0
8,0.8,48.0
9,0.9,48.0
10,1.0,48.0
11,1.1,48.0
12,1.2,48.0
13,1.3,48.0
14,1.4,48.0
15,1.5,48.0
16,1.6,48.0
17,1.7,48.0
18,1.8,48.0
19,1.9,48.0
20,2.0,48.0
21,2.1,48.0
22,2.2,48.0
23,2.3,48.0
24,2.4,48.0
25,2.5,48.0
26,2.6,48.0
27,2.7,48.0
28,2.8,48.0
29,2.9,48.0
30,3.0,48.0
31,3.1,48.0
32,3.2,48.0
33,3.3,48.0
34,3.4,48.0
35,3.5,48.0
36,3.6,48.0
37,3.7,48.0
38,3.8,48.0
39,3.9,48.0
40,4.0,48.0
41,4.1,48.0
42,4.2,48.0
43,4.3,48.0
44,4.4,48.0
45,4.5,48.0
46,4.6,48.0
47,4.7,48.0
48,4.8,48.0
49,4.9,48.0
50,5.0,48.0
51,5.1,48.0
52,5.2,48.0
53,5.3,48.0
54,5.4,48.0
55,5.5,48.0
56,5.6,48.0
57,5.7,48.0
58,5.8,48.0
59,5.9,48.0
60,6.0,48.0
61,6.1,48.0
62,6.2,48.0
63,6.3,48.0
64,6.4,48.0
65,6.5,48.0
66,6.6,48.0
67,6.7,48.0
68,6.8,48.0
69,6.9,48.0
70,7.0,48.0
71,7.1,48.0
72,7.2,48.0
73,7.3,48.0
74,7.4,48.0
75,7.5,48.0
76,7.6,48.0
77,7.7,48.0
78,7.8,48.0
79,7.9,48.0
80,8.0,48.0
81,8.1,48.0
82,8.2,48.0
83,8.3,48.0
84,8.4,48.0
85,8.5,48.0
86,8.6,48.0
87,8.7,48.0
88,8.8,48.0
89,8.9,48.0
90,9.0,48.0
91,9.1,48.0
92,9.2,48.0
93,9.3,48.0
94,9.4,48.0
95,9.5,48.0
96,9.6,48.0
97,9.7,48.0
98,9.8,48.0
99,9.9,48.0
100,10.0,48.0
101,10.1,48.0
102,10.2,48.0
103,10.3,48.0
104,10.4,48.0
